JT,IF,ISSN
CA-CANCER J CLIN,508.702,0007-9235
NAT REV MOL CELL BIO,94.444,1471-0072
NEW ENGL J MED,91.245,0028-4793
NAT REV DRUG DISCOV,84.694,1474-1776
LANCET,79.321,0140-6736
NAT REV CLIN ONCOL,66.675,1759-4774
NAT REV MATER,66.308,2058-8437
NAT ENERGY,60.858,2058-7546
NAT REV CANCER,60.716,1474-175X
NAT REV MICROBIOL,60.633,1740-1526
CHEM REV,60.622,0009-2665
MMWR SURVEILL SUMM,58.769,1545-8636
JAMA-J AM MED ASSOC,56.272,0098-7484
MMWR RECOMM REP,55.857,1057-5987
NAT BIOTECHNOL,54.908,1087-0156
CHEM SOC REV,54.564,0306-0012
REV MOD PHYS,54.494,0034-6861
NAT MED,53.44,1078-8956
NAT REV GENET,53.242,1471-0056
NAT REV IMMUNOL,53.106,1474-1733
NAT REV DIS PRIMERS,52.329,2056-676X
NATURE,49.962,0028-0836
WORLD PSYCHIATRY,49.548,1723-8617
SCIENCE,47.728,0036-8075
NAT REV GASTRO HEPAT,46.802,1759-5045
J CLIN ONCOL,44.544,0732-183X
LANCET NEUROL,44.182,1474-4422
NAT MATER,43.841,1476-1122
NAT REV ENDOCRINOL,43.33,1759-5029
NAT REV NEUROL,42.937,1759-4758
NAT CATAL,41.813,2520-1158
CELL,41.582,0092-8674
LANCET ONCOL,41.316,1470-2045
JOULE,41.248,2542-4351
LIVING REV RELATIV,40.429,2367-3613
BMJ-BRIT MED J,39.89,1756-1833
PROG MATER SCI,39.58,0079-6425
CANCER DISCOV,39.397,2159-8274
NAT NANOTECHNOL,39.213,1748-3387
NAT PHOTONICS,38.771,1749-4885
ENERG ENVIRON SCI,38.532,1754-5692
NAT GENET,38.33,1061-4036
PHYSIOL REV,37.312,0031-9333
MAT SCI ENG R,36.214,0927-796X
NAT REV NEUROSCI,34.87,1471-003X
NAT REV CHEM,34.035,****-****
NAT ELECTRON,33.686,2520-1131
ANN ONCOL,32.976,0923-7534
NAT REV CARDIOL,32.419,1759-5002
LANCET DIABETES ENDO,32.069,2213-8587
JAMA ONCOL,31.777,2374-2437
IMMUNITY,31.745,1074-7613
CANCER CELL,31.743,1535-6108
NAT REV PHYS,31.068,****-****
MATER TODAY,31.041,1369-7021
ADV MATER,30.849,0935-9648
LANCET RESP MED,30.7,2213-2600
ANNU REV ASTRON ASTR,30.065,0066-4146
EUR HEART J,29.983,0195-668X
CIRCULATION,29.69,0009-7322
PROG ENERG COMBUST,29.394,0360-1285
ADV ENERGY MATER,29.368,1614-6832
PROG POLYM SCI,29.19,0079-6700
ELECTROCHEM ENERGY R,28.905,2520-8489
NAT CELL BIOL,28.824,1465-7392
NAT METHODS,28.547,1548-7091
ANNU REV IMMUNOL,28.527,0732-0582
NAT REV NEPHROL,28.314,1759-5061
MOL CANCER,27.401,****-****
CELL METAB,27.287,1550-4131
LANCET PSYCHIAT,27.083,2215-0374
