"issn","jfull","jabbr","impact"
"0160-6999","AADE editors' journal","AADE Ed J",NA
"0094-6354","AANA journal","AANA J",NA
"2162-5239","AANA journal","AANA J",NA
"0001-0197","AARN news letter","AARN News Lett",NA
"0289-0909","[Nihon shika hyoron] The Nippon dental review","Nihon Shika Hyoron",NA
"0001-3854","Academia Peruana de Cirugia","Acad Peru Cir",NA
"0008-0810","Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale","Acad Rev Calif Acad Periodontol",NA
"0044-586X","Acarologia","Acarologia",1.242
"0075-4463","Acquisitions medicales recentes","Acquis Med Recent",NA
"0001-7604","Activitas nervosa superior","Act Nerv Super (Praha)",NA
"0001-5148","Acta allergologica","Acta Allergol",NA
"0001-5156","Acta anaesthesiologica","Acta Anaesthesiol",NA
"0001-5164","Acta anaesthesiologica Belgica","Acta Anaesthesiol Belg",NA
"2736-5239","Acta anaesthesiologica Belgica","Acta Anaesthesiol Belg",NA
"0001-5172","Acta anaesthesiologica Scandinavica","Acta Anaesthesiol Scand",2.105
"1399-6576","Acta anaesthesiologica Scandinavica","Acta Anaesthesiol Scand",NA
"0515-2720","Acta anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol Scand Suppl",NA
"0001-5180","Acta anatomica","Acta Anat (Basel)",NA
"0022-7722","Kaibogaku zasshi. Journal of anatomy","Kaibogaku Zasshi",NA
"0001-527X","Acta biochimica Polonica","Acta Biochim Pol",2.149
"1734-154X","Acta biochimica Polonica","Acta Biochim Pol",NA
"0147-1554","Across the board","Across Board (NY)",NA
"0001-5288","Acta biologica Academiae Scientiarum Hungaricae","Acta Biol Acad Sci Hung",NA
"0363-7425","Academy of management review. Academy of Management","Acad Manage Rev",NA
"1930-3807","Academy of management review. Academy of Management","Acad Manage Rev",NA
"0237-6261","Acta biochimica et biophysica Hungarica","Acta Biochim Biophys Hung",NA
"0365-0820","Acta biologiae experimentalis","Acta Biol Exp (Warsz)",NA
"0001-4273","Academy of Management journal. Academy of Management","Acad Manage J",NA
"1948-0989","Academy of Management journal. Academy of Management","Acad Manage J",NA
"0771-5684","Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation","Acta Belg Med Phys",NA
"0001-5334","Shi yan sheng wu xue bao","Shi Yan Sheng Wu Xue Bao",NA
"0236-5383","Acta biologica Hungarica","Acta Biol Hung",NA
"0065-1087","Acta biologica et medica","Acta Biol Med (Gdansk)",NA
"0001-5318","Acta biologica et medica Germanica","Acta Biol Med Ger",NA
"0001-5342","Acta biotheoretica","Acta Biotheor",1.774
"1572-8358","Acta biotheoretica","Acta Biotheor",NA
"1013-5545","Acta cancerologica","Acta Cancerol (Lima)",NA
"1810-8296","Acta cancerologica","Acta Cancerol (Lima)",NA
"0001-5385","Acta cardiologica","Acta Cardiol",1.718
"1784-973X","Acta cardiologica","Acta Cardiol",NA
"0302-4377","Acta chemica Scandinavica. Series A: Physical and inorganic chemistry","Acta Chem Scand A",NA
"0302-4369","Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry","Acta Chem Scand B",NA
"0001-5431","Acta chirurgica Academiae Scientiarum Hungaricae","Acta Chir Acad Sci Hung",NA
"0231-4614","Acta chirurgica Hungarica","Acta Chir Hung",NA
"0373-7934","Acta cardiologica. Supplementum","Acta Cardiol Suppl",NA
"0001-5458","Acta chirurgica Belgica","Acta Chir Belg",1.09
"0001-5466","Acta chirurgica Italica","Acta Chir Ital",NA
"0354-950X","Acta chirurgica Iugoslavica","Acta Chir Iugosl",NA
"0001-5415","Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca","Acta Chir Orthop Traumatol Cech",0.531
"0001-5423","Acta chirurgiae plasticae","Acta Chir Plast",NA
"1805-4404","Acta chirurgiae plasticae","Acta Chir Plast",NA
"0001-5482","Acta chirurgica Scandinavica","Acta Chir Scand",NA
